Publisher,Title,Content Summary,Year published,Author / editor,Geocoordinates,Region,Global South / North,Link
AABF,AFRIKADAA 7 – Corps medium,"This issue of Afrikadaa draws from art of many genres to reveal the dynamics of the body and its transformations. For this issue, afrikadaa magazine will transform its space into a medium body.  As is known, in the 21st century the body has been a significant site for exploration in a variety of artistic media. It is the tool of creation par excellence. It is for this reason that we have taken it as an organizing theme and created a space to reflect upon it.  We are concerned with privileging analysis that is not only capable of bringing to light the inscription of the body in artistic media, but also which take into consideration interactions between the body and media. The body is a concrete incarnation as much as an ideology— or, at the very least, an aid to the expression of ideas and theories. Indeed, certain artistic practices apprehend the other as a dematerialized presence. In these particular cases, the incarnation no longer passes through the body.  This disruption brings about a multitude of others. In literature, for example, what might be said about the body that is made as a signifier for a character? What are the stakes for the body in the construction of the individual? In visual arts, these questions might be asked in the same terms. How does art take responsibility for the disappearance of the body? How does it give presence to the body’s absence?  Many contemporary images show us a body that has been reworked, manipulated, objectified. Playing with codes—sex, race, religion, etc.— this art explores questions of identity. How is the physical a part of identity construction? Is there corporeal excess? What are the stakes of a body that has been deconstructed by a work of art? When the body is made of physical material, what might learned with the sense of touch?  Why is the body the vehicle for artistic work? What might we say about the body that is the medium or the screen of the work? What might be said about the body as spectacle?  Taking into account social discourse, the body is also something that receives art.  Let us consider the colonial body of Frantz Fanon. In Fanon, the black man dreams of being white, but what do the colonialized dream about? To be in the place of the colonizer, as Stuart Hall explains at length: the gaze of the colonizer upon the colonized is one of desire and recognition. When we speak of the colonial body, we must, of course, also understand the body of the master, the flesh of the master (as it is understood in Dany Laferrière’s 1997 The Flesh of the Master), which, alone, has existence as its objective. In this way it seeks to decontextualize the colonialized, the desired/desirable victim ad infinitum. The colonizer receives pleasure upon the body of the colonized, and he depends upon the colonized body for power and worth. Therein rests the ambiguity of the dialectic between the colonized and the colonizer. The black body does not exist without the white. Can we even speak of the black-body-object after Le Code Noir of 1685? This mutilated body, cut into pieces as in Joseph Conrad’s Heart of Darkness (1925), becomes the body-desire, the site where manifold fantasies are articulated. The resurging body, exploded, overflowing and redefined as the body of the other, an object of desire and pleasure, is manifest in contemporary African art.  In light of this incarnation, we are in perfect resonance with the present.",2014,,,Africa,Global South,https://africanartbookfair.com/produit/afrikadaa-7-digital/
AABF,AFRIKADAA Special Edition – Be/national,"In collaboration with the South-African publication Chimurenga and on the occasion of the France – South Africa Season, Afrikadaa is proud to present a bilingual special edition titled Be National. At the heart of this special edition, you will find our cross-referenced look at the South African art scene, artist interviews, re »ective articles, literature, critiques and a good dose of creation. Be-National is a dialogue between artistic collectives and individuals coming both from Francophone and English-speaking Africa. The content in this issue is a dialogue on form and substance between two Africas, who look at each other but do not always meet. This unique collaboration between two publications with a focus on contemporary arts allowed us to build an unexpected bridge of culture, a common re »ection around the act of artistic creation. BE NATIONAL is a project that was envisioned as a geo-specific narrative, where the reader is invited to discover a rich and diverse, emerging South African arts scene. The editorial team worked in favor of various narratives, with the sharing of knowledge and experiences at the core of everything. Let us guide you through an unexpected journey into this amazing place that is the South-African scene. On December 20th, we introduced our audience with the first act of this collaboration, an editorial act that drew its life from the artistic practices of both publications, a living entity, which we hope, suitably accompanies the Season in its temporality. We would like to extend our heartfelt thanks to all the authors and artists who contributed to this special issue: Chimurenga, L’Institut Français, Le MAC/VAL, Le 104 for having us in residency, and La Gaîté Lyrique who invited us for the BE NATIONAL live editorial act.",2014,,,Africa,Global South,https://africanartbookfair.com/produit/afrikadaa-be-national/
AC World,Iron Aura,"In vast landscapes resembling those of trench warfare, with no discernible enemy but the land, mines are the front lines of where the world is built. Production is measured in tonnes per second by dispatchers in distant, sterile office buildings. The mining process is unending. The quest for more supply is infinite. Under neoliberal capitalism, the end of the relentless exploitation of labour for profit will only come with either total economic collapse or complete ecological catastrophe. While many of my works depict harsh industrial, societal, and environmental realities, they are underpinned by a feminist, anti-colonialist, and socialist methodology which incorporates sensibilities of compassion, friendship, cultural awareness, understanding of place, and respect for the natural world.",2024,Tanea Hynes,,North America,Global North,"mn,,"
AC World,Everyone you know,"Everyone you know explores our relations to our phone, photography, and the practices humans engage in when observing others. Referencing how social media imagery reifies conventional aesthetics and perpetuates privilege, Everyone You Know explores concepts of authenticity, whiteness, and the uncanny of social photography.",2024,Fanny Desroches,,North America,Global North,https://www.instagram.com/p/C5rmZx1pf-e/?img_index=1
AC World,Environmental Studies 03,"Environmental Studies 03 is the third volume of collected photographs by Nick Chapman. With a focus on humor, serendipity, absurdity, beauty, and sometimes combinations of all those things, Nick re-contextualizes ordinary scenes collected from a psycho geographic practice. Nick's photographs offer an opportunity to search for easter eggs and gold nuggets to enhance a life practice of silliness, exploration and curiosity. These photographs were collected over the course of 2023 and 2024 from Los Angeles to London and many places in between ",2024,Nick Chapman,,North America,Global North,https://www.instagram.com/p/C5otGMIp8Nj/?img_index=1
Aftertomorrow,Random Edition 01,"Random Edition is a publishing project of the Art-Space-Hopping festival of urban artistic practices (ASH for short), launched by the festival team to highlight the artists, processes, and ideas that shape and influence the Moscow art scene alongside galleries and major institutions. We publish works, conduct interviews, and co-publish texts with authors and artists whose work we follow, communicate with, are friends with, or dream of meeting. Through this collaborative project, we aim to support and strengthen connections within the community, create opportunities for professional growth for its participants, and make the art scene less hermetic for a wider audience. We dedicated the first cycle of Random Edition to artists whose practices extend beyond personal artistic expression and professional careers, but also organize and support spaces and environments for other artists. These are the initiators of artist-run spaces: Dishon Yuldash, Anya Tagantseva-Kobzeva, Slava Nesterov, Yan Possadsky, Dima Filippov, and others. RE was conceived and designed at the intersection of several genres: magazine, samizdat/zine, and, simultaneously, archive (for which we thank our designers Misha Filatov and Dmitry Gusev). It was important for us to remain within the visual code recognizable by the community, as if the artists themselves created their own magazine—which, in essence, is close to the truth. Each issue is compiled from two materials: (1) interviews with the featured artists and (2) artwork by a guest author, executed in a printed format—zine, print, image series, etc. Additionally, the issue may include exhibition reviews, curatorial texts on upcoming events, or a calendar of events at independent venues. Thus, Random Edition aims to become an artistic archive/documentation of a cross-section of the independent Russian art scene in 2024-25. The first cycle's edition will be compiled and presented as a catalogue at the final exhibition, along with the original works. Therefore: get–read–collect",1000,"Evgenia Bonvert, Andrey Kasay ",,Europe,Global North,https://aftertomorrow.moscow/tproduct/506861547-634828389042-random-edition-01
Almas Art Foundation,"Finished Art School, Now What? ","Almas Art Foundation is delighted to present Sudan Retold, a publication a decade in the making. What began as an effort to tell Sudanese (his)stories differently has grown into a powerful act of cultural preservation at a time when both memory and place are under threat. Accompanied by an exhibition, Sudan Retold draws on personal archives, oral histories, forgotten objects and speculative figures. It invites visitors to explore the rich and multifaceted stories of Sudan, shaped by many cultures, religions, languages and histories, yet too often reduced to a single narrative. Sudan Retold is more than a book. It is a living archive, an exhibition, and a cultural movement that reimagines how Sudanese stories are told. Through photography, painting and multimedia installations, it challenges single narratives and preserves memory at a time when both heritage and place are under threat.",2025,,,Europe,Global North,https://www.instagram.com/p/DOyVJvZDGol/?img_index=1
Amurhüü & Taukesz,Wandering - animals of Inner Mongolia,"The author traveled across Inner Mongolia, capturing endearing moments of animals from nomadic communities and turning them into posters. This zine series builds upon those animal posters, reimagining them through cycles of secondary creation. By collaging, cutting, and reconstructing the animal landscapes, the compositions fragment the posters to emphasize a visual sense of magnifying the beauty of animals and nature. The work also includes the author‘s Animal Observation Notes, weaving subtle human emotions into the scenes.",2025,Amurhüü & Taukesz,,East Asia,Global South,https://www.instagram.com/p/DJoNvimpocP/?img_index=1
Amurhüü & Taukesz,Shagai Fortune Telling,"Traditional Mongolian Shagai (sheep ankle bone) Fortune Telling Book. The term Shagai is derived from transliteration of Mongolian, referring to the talus (ankle bone) of animals, most commonly that of a sheep. The bundle consists of one guidebook for divination interpretations, one set of Shagai (comprising four bones). 100% natural materials.",2024,Amurhüü & Taukesz,,East Asia,Global South,https://www.instagram.com/p/C4HO_pNCxNl/?img_index=1
Amurhüü & Taukesz,A Tale of Morin Khuur,"Endless Vertical Flipbook: A Tale of Morin Khuur. A traditional Mongolian tale of an ancient musical instrument: Morin Khuur(Horse-Head violin). We’ve made our original translations in English, Chinese, Japanese and Cyrillic Mongolian. In order to demonstrate the vertical layout of traditional Mongolian, we’ve printed the whole story vertically onto a 11-meter long paper, made this one-piece book.",2024,Amurhüü & Taukesz,,East Asia,Global South,https://www.instagram.com/p/C4CGl-hCmpc/?img_index=1
The Angry Bat,Goodbye Meadow,"Goodbye Meadow is a deeply personal journey through memory, loss, and rediscovery. Filippo Zambon returns to Prato, a city he once left behind, to confront its past and his own. Through intimate photographs and poignant text, he navigates the streets of his childhood, the spaces his mother inhabited, and the emotions of a long-awaited homecoming. This photobook is more than a documentary—it is a meditation on grief, identity, and the ties that bind us to place and family. I left Prato nearly 20 years ago without hesitation. Prato—whose name literally translates to meadow—is an industrial town neighboring Florence. For many years, I felt completely disconnected from the city of my youth. A difficult relationship with my mother, along with a lingering sense of unease about the provincial mindset of its inhabitants, kept me away. In 2021, when my mother’s fragile health took a turn for the worse, I was forced to return to Prato to handle practical matters. This period marked the beginning of a profound nostalgia for the place where I grew up. Homesickness set in as my mother’s condition rapidly declined. During this time, I began photographing her, her home, and the city. In early 2022, my mother passed away suddenly. Throughout her hospitalization and in the months following her death, I continued the project, also incorporating written material alongside the photographs. In 2023, I returned to further document the city—this time focusing on elements that could connect our memories to the place. Through this process, I sought to intertwine my life with her experiences, discovering connection and meaning in a city that holds both of our histories.",2025,Filippo Zambon,,Europe,Global North,https://theangrybat.com/product/goodbye-meadow/
The Angry Bat,The Abyss,"The series The Abyss captures more than mere landscapes; it encapsulates a profound narrative of our contemporary era, marked by turmoil, isolation, and introspection. Each image, devoid of color yet rich in contrast, serves as an allegory for the challenges we collectively face – the wars that rattle our sense of security, the pandemic that has reshaped our existence, and the deeply human experiences of longing and love. The series Abyss focuses exclusively on one motif. It is the night motif of a sea pier, which the artist pursued over a longer period of time. The title Abyss indicates the symbolic significance of the series that the photographer himself interprets as a response to current political affairs and a feeling of the spirit of the times we live in. The pier as a temporary and limited space of current residence on which strangers coexist, images of people indicating a point in the distance or bending over the water as if searching for answers in it, images of a secluded pier in total darkness, photographs of lightning and close shots of the sea, all this evokes an allusion to the current images of refugees who are following points in the distance, reaching unknown territories, talking to strangers on that same pier, and staring at the sea on which their survival depends. Only few elements of the narrative are specifically highlighted; each change in the framing, each gesture or attitude of protagonists in this empty space immersed in the darkness resonates more strongly. He thus achieves various effects, ranging from calmness to drama, using minimal variation. Broadly speaking, we can also perceive the Abyss as an illustration of our own existence in all its ranges: finding the right direction, approaching the coast, coexisting with strangers, surviving storms and unpredictable seas, and finally moments of confiding closeness of two lovers with whom the series ends. Hence, with love that gives meaning and (solely) shows a way out of the abyss. ",2024,Matej Sitar,,Europe,Global North,https://theangrybat.com/product/the_abyss/
The Angry Bat,Requiem,"Goran Bertok approaches death from the perspective of life: he is intrigued by its mythology reflecting through history the notion of the so-called dignified death, he is fascinated by the psychological effects of the omnipresent fear of death and by the organic remnants of the once alive bodily system. He never idealizes death, as it always stands for fear, pain, agony and pain, he rather sees it as a consequence of life.",2015,Goran Bertok,,Europe,Global North,https://theangrybat.com/product/requiem/
Antenna Press,Vanishing Points,"Words for Disappearing is a collection of micro-essays and photographs that explores the intersection of Louisiana’s industry and nature, and the emotions elicited by those surreal spaces. Organized into a glossary, this exploration of energy colonialism and ecological grief is designed to feel small to help readers make better sense of the enormity of climate change. Amy Kennedy writes fiction and nonfiction about the climate crisis and the surreal spaces where heavy industry and nature intersect. She created ALongNewThread.com, a website examining ecological grief and the limitations of language and human perception in processing that grief. Amy is a Loyola Institute of Environmental Communication Fellow, a DeGroot Foundation Courage to Write grantee, a 2024 Anonymous Was A Woman Environmental Art Grant recipient, and an AICA-USA art critic fellow. Her work has appeared in the Southeast Review, Burnaway, and Dark Mountain. Her first book Vanishing Points: Words for Disappearing received an Antenna Press Publishing Award and will be released in September 2025. Amy is a proud graduate of Appalachian State University. She is based in New Orleans and Charlottesville, VA.",2025,Amy Kennedy,"29.9509, -90.0758",North America,Global North,https://www.antenna.works/product/vanishing-points-words-for-disappearing/
Antenna Press,The Pink Slipper: Protecting each other through hurricanes & other calamities ,"What you will find in this workbook is our collection of dozens of people’s ideas of what we can do to help ourselves prepare for the government control and climate disasters that we intend to survive. This work is rooted in our shared faith and commitment that we can live well as we survive. We choose to grow, evolve and change with the seasons and tides. As we order our steps standing ten toes in this decision —we meet fear with expansive deep breaths. In partnership with the earth, and all our relatives, humans and beyond, we are each other’s harvest. We are grateful that we are present and able to do something for ourselves and each other. This work has been built by community members who came together in 2020 to prepare for hurricane season when the pandemic was still new and police repression was soaring in response to the Uprising during the summer of 2020. We are an intergenerational group of people of different races, genders, classes, and sexualities. Some of us are from New Orleans, some are transplants and we share a commitment to growing community wellness. We understand that building supportive community networks is a vital part of how we protect ourselves and each other in the face of emergencies. These networks also serve to support each other in accessing what we need to thrive.",2025,Resistencia Comunitaria,"29.9509, -90.0758",North America,Global North,https://www.antenna.works/product/the-pink-slipper-protecting-each-other-through-hurricanes-other-calamities/
Antenna Press,Intertwined,"Intertwined by Flora Cabili is an immersive, mixed media exhibition that reflects on space, carving, permanence, and expansion. The paintings, collages, sculptures, videoed movement story, and soundscape are entangled in metaphysical environments that are both confined and liberated. In the meandering journey of patterns, where do things end and begin? This pattern vocabulary is rooted in past work contemplating the nature and composition of material, specifically non-disposable petroleum byproduct materials like Expanded Polystyrene (EPS) foam. EPS’s foam air-filled balls compacted together emulate our most basic human parts — cells, DNA strands, organs — and nature. Intertwined invites us to consider how we experience these patterns, at times entangled, to find the release in the spaces in between.",2025,Flora Cabili,"29.9509, -90.0758",North America,Global North,https://www.antenna.works/product/intertwined/
Antenna Press,The Lay of the Lack of the Land,"Nicole Sara Simpkins is the recipient of Antenna’s 2025 Solo National Exhibition. This collection of prose poems integrates research about the predicaments of engineering, extraction, and changing ecosystems in the Mississippi River. Featuring photos, drawings, prints, notes and references, this publication was produced in tandem with an exhibition of large-scale installation-based printmaking. ",2025,Nicole Sara Simpkins,"29.9509, -90.0758",North America,Global North,https://www.antenna.works/product/the-lay-of-the-lack-of-the-land/
Antenna Press,Materia,"Caitlin Ezell Waugh is the recipient of Antenna’s 2025 Louisiana Solo Exhibition. Materia is a collection of glass and plant fiber sculptures inspired by community-engaged contemporary research in the field of herbal reproductive autonomy. The exhibit, companion publication, and accompanying workshops, are opportunities to connect with a curation of plants historically engaged in fertility outcomes. Waugh’s work reflects the interweave of environmentalism and reproductive justice.",2025,"Ezell Waugh, Antonia Zennaro, Caitlin Ezell Waugh","29.9509, -90.0758",North America,Global North,https://www.antenna.works/product/materia/
Antenna Press,About Time,"Led by the storytelling, artwork, and the vision of Mondrell Wilson, Mark Cooper, Derrick Holt, Tuan Tran, Rufus Henry, Mark Stephen King, Peter Rubens, Keith Brazley Lloyd Gray, and Anthony Boult, ten artists impacted by non-unanimous convictions, ABOUT TIME reveals the enduring effects of racism, the carceral state, and Jim Crow juries in Louisiana. ABOUT TIME shares stories through paintings, wood working, sculpture, and video that speak to the singular and collective experience, across time. This exhibit is an opportunity to tangibly connect and engage.",2025,"Louisiana’s Jim Crow Juries and the Fight for Liberation, Promise of Justice Initiative & Center for Constitutional Rights","29.9509, -90.0758",North America,Global North,https://www.antenna.works/product/about-time-louisianas-jim-crow-juries-and-the-fight-for-liberation/
Antenna Press,Super Max,"In essays and archival photographs, Super Max unravels the interwoven legacies of two career-defining projects by New Orleans-based architects Curtis and Davis. Angola Penitentiary, a site of mass trauma, and the Louisiana Superdome, an incidental—though preventable—site of mass trauma, are equally fertile grounds for examining the communal consequences of decisions made on the drafting table. Page Comeaux is an architect and activist rooted in New Orleans, LA. From books to buildings, his work operates across scales, contexts, and communities in pursuit of environments that are shaped by liberatory and participatory practices.",2024,Page Comeaux,"29.9509, -90.0758",North America,Global North,https://www.antenna.works/product/super-max/
Antenna Press,Abolition Film Society: Flipbook Cinema,"Abolition Film Society: Flipbook Cinema is a collaboration between Kriss Li, filmmaker and multimedia artist, and Amber Kim, an activist and author incarcerated in Washington State.Amber and Kriss collaboratively conceptualized a script based on conversations from a 6-month reading group, which Kriss used to produce a two-channel short film. This publication contains the short film —turned into five flipbooks to mail into prison—  as well as compilation of conversations between Kriss and Amber. Kriss Li is a multimedia artist who creates films, installations, and conceptual projects that explore structures of power. Amber Kim is an activist, witch, nerd, trans woman and author who believes in comforting the disturbed and disturbing the comfortable.",2024,Kriss Li ,"29.9509, -90.0758",North America,Global North,https://www.antenna.works/product/abolition-film-society-flipbook-cinema/
Antenna Press,Leviathans: Queer Mischief in an Amphibious Ecology,"Leviathans is an artist book and flipbook hybrid investigating queer becoming in the ecology of the Gulf South. Through a combination of research, illustration, and rumination, it peeks into the terra incognita of our muddy wetlands, and the trickster Leviathans that emerge from its muck. These queer wilds are not an idyllic nature, but rather one tangled up in brilliant decadence, captivating monstrosity, and soggy beyond-human kinships.",2024,Devon Pardue,"29.9509, -90.0758",North America,Global North,https://www.antenna.works/product/leviathans-queer-mischief-in-an-amphibious-ecology/
