Name of press / initiative,Introduction,Year established,Location,Region,Geocoordinates,Link
Fraglich Publishing,"Fraglich Publishing was founded by Austrian photographer and researcher Lukas Birk in 2007 with the aim of producing zines and localized publications aligned with his research. Since 2017, we have also been publishing books and editions by other artists and researchers. This broader focus on publications has further expanded in recent years. We produce and distribute the publications of the Myanmar Photo Archive, the first photo book publishing endeavour to come out of Myanmar. All books are locally made with whatever materials are available. We also train people in the art of book making. Our books primarily concern photographic history with a rarely seen cultural insight. This is why we made it our aim to produce and distribute the books locally before selling them abroad. For example, the books from the Myanmar Photo Archive are produced in Yangon, sold locally for an adapted price so that people can afford them, and only then distributed internationally on this platform. Hence, purchasing a Myanmar Photo Archive book also supports the development of the Myanmar photo book scene. We believe change is needed in the way we give access to information, even if this means taking a cut in profits and creating complications in our production. As book and edition making collides with our belief in reducing the consumption of natural resources, for each book we sell we plant a tree with The Eden Project. Ps: If you are wondering what ‘Fraglich’ means, it translates as ‘questionable’ in German. We produce books with historic content, yet we do not believe in rigid forms of history; that’s why we put our own books into question.",2007,Myanmar,Southeast Asia,"21.9162, 95.9560",https://www.fraglich.com/
Full Special Studio,"Full Special Studio is the UAE's first independent commercial risograph print studio. We produce beautiful and useful printed products for individuals, businesses, and institutions, and are an independent print platform that supports and champions local and regional creatives. Full Special Studio was born in the UAE in 2022, and we are now proudly based in M_39, a new hub for creative start-ups in the up-and-coming MiZa cultural district of Abu Dhabi.",2022,"Abu Dhabi, United Arab Emirates",Middle East,"24.4539, 54.3773",https://fullspecialstudio.com/
Further Reading,"Further Reading is an Indonesia-based independent, multi-format publishing platform with in-house production and distribution. We seek to engage in discourse around the broader contexts of design practices through various programmed experiences such as printed periodicals, pop-ups, and residencies—on topics relevant to, and within, Southeast Asia, as well as globally.",,"Jakarta, Indonesia",Southeast Asia,"-6.1944, 106.8229",http://further-reading.club/
Gato Negro Ediciones,"Since 2013, Gato Negro Ediciones has acted as a recognizably-urgent voice in independent publishing across the cultural realm. Advocating the liberty of thought, the Mexico City-based press intentionally prints titles that challenge the so-often sequestered view of contemporary society. In a new world where temporary excess and obstruction of knowledge are lived at its height, Gato Negro returns the voices of their authors to the fundamental purpose of the book. By remaining inside the economically-amicable yet unconstrained process that is risograph printing, an archive of over 220 titles has been successfully called into life ever since its inception. From political manifests to art theory and prose, the books of Gato Negro do not wish to deconstruct reality through ornamental distractions that lately seem to have become an inevitable requisite within the modern history of publishing. Instead, Gato Negro embraces the deliberately-chosen content in its most primal form: straightforward and entire. And therefore, ever-growing in context. The outcome of each publication is a dialogue between reader and creator — an ecological construction of selfhood that distills collective contemplation while all we do is live.",2013,"Mexico City, Mexico",Latin America,"19.4326, -99.1332",https://www.gatonegro.ninja/
GenderFail,"GenderFail (founded in 2015) is Be Oakley's publishing, programming, and archiving platform. GenderFail is not non-profit but profit-for-survival or profit-to-continue-our-work-without-other-means-of-capital and, most importantly, to make money for others I publish, to create profit-for-labor. With GenderFail, publishing is personal; it’s a tool for disseminating imperfect but powerful ideas.",2015,"New York, US",North America,"40.7128, -74.0060",genderfailpress.info
Gravitron,"Gravitron is a publishing and collection project initiated by Nic Wilson focusing on artist’s writing. The project is a growing library of artist’s writing as well as a series of publication projects by artists and curators. Gravitron looks to print and disseminate small-scale publications which fall outside the usual avenues reserved for writing in the visual arts. Particular interests of the project include: ekphrastic interpretations of other artworks, critical connections between artworks and lived experience, non-narrative fiction, non-narrative non-fiction, interactions with historical texts, and academic writing which favours affect over argument.",,"Regina, Canada",North America,"50.4452, -104.6189",https://gravitrongravitron.org/
Half Letter Press,Half Letter Press is a publishing imprint and online store initiated by Temporary Services. Temporary Services is now two people—Brett Bloom & Marc Fischer. We have published booklets as an element of our collaborative work since 1998. We created Half Letter Press to publish and distribute book and booklet length works by ourselves and others. We are interested in using this endeavor to build long-term support and expanded audiences for people that work creatively in experimental ways. We are particularly interested in supporting people and projects that have had difficulty finding financial and promotional assistance through mainstream commercial channels.,1998,"Chicago, US",North America,"41.8832, -87.6324",https://halfletterpress.com/publications/
Hand Saw Press,"We have two risograph machines and some woodworking tools (handsaw) in our studio. We make zines, books, posters, furnitures, art pieces, event booths… and others things like this. We want to open our studio to everyone as much as possible. We hope it will be pratform for many artists and makers.",,"Tokyo, Japan",East Asia,"35.6764, 139.6500",https://handsawpresstokyo.com/index.html
Handshake Studio,"Handshake® Studio is a graphic design duo based in Valencia and established in 2018. With an emphasis on printed matter, we design and execute publications, visual identities, websites, packaging design, apparel, and photography for clients in very diverse fields, either at a large or small scale. Alongside our studio we also operate Handshake® Books, a small-scale research and publishing effort.",2018,"Valencia, Spain",Europe,"39.4738, 0.3756",https://handshake.fun/Handshake-Studio
HAMBRE HAMBRE HAMBRE,"HAMBRE HAMBRE HAMBRE is a publishing initiative cooking zines from Santiago, Chile. They publish feminist and queer work by emerging Latin American artists and writers. Their low-cost, artisanal publications explore identity, desire, memory, labor, and graphic activism through material experimentation and collective practices. ",,"Santiago, Chile",Latin America,"-33.4489, -70.6693",https://hambrehambrehambre.com/
Homie House Press,"Publishing as a collaborative art. Photographers, book makers, and educators migrating through the in-between. Community over everything.  Homie House Press is a space founded in community, care, and joy. We do our part to hold the white supremacist system of the art world accountable. This is a never-ending process. Photography, publishing, and the art world at large are deeply rooted in systems of power and oppression. This space exists to counteract a history of flawed archives with thoughtful and careful story-tellers of the future. Every book you buy directly contributes to actively redistributing wealth and putting it in the hands of the folx who make and tell stories. You can be a part of putting QTBIPOC storytellers at the forefront and center by supporting with your coins to ensure we continue the tender and rigorous work of revisionist history. Black Lives Matter, and more specifically— BLACK TRANS LIVES MATTER. When those who are the most oppressed get free, we all free!",,"Baltimore, US",North America,"39.2905, -76.6104",https://www.adrianastories.com/homiehousepress/
Humboldt Books,"Humboldt Books is a publisher specialising in narratives and experiences of travel which undertakes interdisciplinary publishing projects, blending geography with literature, photography and art. Humboldt Books collaborates with international artists, writers, photographers, designers and architects, gathering their travel stories – be they real or imaginary – and recounting these experiences through a new, unconventional gaze. Humboldt Books also delves into the classics of travel literature, curating new editions and bringing adventures of yesteryear back to life with a contemporary edge. The publishing house was founded in 2012 by Alberto Saibene and Giovanna Silva.",2012,"Milan, Italy",Europe,"45.4685, 9.1824",https://www.humboldtbooks.com/en/
HumDrum Press,"HumDrumPress is an expanded publishing project, based between Rotterdam and Berlin, that produces publications, hosts public gatherings, and evolves and maintains an experimental publishing practice. HumDrumPress works, through collaborative means, to question the conventions of publishing. In doing so, exploring new, connected ways of documenting and circulating voices, ideas, and contexts, and better understanding the role of “publishing” and “publisher” within our current climates. At the heart of HumDrumPress is the understanding of publishing as a commons, and as a public, community resource. Our publishing projects take the form of both print and digital publications. We publish with a broad range of authors and on subjects from a wide scope of disciplines, backgrounds and experiences. Some of whom are publishing for the first time, whilst others are seasoned writers, but all are connected in their interest in the ideas and methods surrounding “commons” and/or “commoning”.",2021,"Rotterdam, the Netherlands",Europe,"51.9244, 4.4777",https://humdrumpress.com/
HUMOBOOKS,"HUMOBOOKS is a publishing house based in Buenos Aires, Argentina, that uses the Risograph printing system. It serves as an experimental platform where contemporary Argentine artists can connect with the publishing world, exploring different formats and creating new ways to engage with the public.",,"Buenos Aires, Argentina",Latin America,"-34.6037, -58.3821",humobooks.com
IANN,"Beginning in 2007 as an Asian photography magazine, IANN publishes and organizes programming around international exchanges of Asian photography and visual arts. IANNBOOKS—“IANN” meaning two eyes: eyes to see and eyes to think—considers the history of Korean photography under the theme of ‘Asia-Photography-Archive.’ In 2018, we launched ‘The Reference’ an interdisciplinary bookstore and exhibition space in Seochon, and our second location at ‘The Reference SeMA,’ offering a platform to experience contemporary culture through our curated selection of independent publications.",2007,"Seoul, South Korea",East Asia,"37.5503, 126.9971",https://www.iannmagazine.com/
Ikrek Edições,"Founded in 2012 by twin brothers Luiz and Pedro Vieira, Ikrek Edições, since 2014, has been publishing books by Brazilian and foreign artists (especially Latin Americans). More than 30 titles have been published and all of them can be seen in the MAC USP library, an institution to which Ikrek annually donates a copy of each book published (in addition to other institutions that receive the books, depending on funding policies and counterparts).",2012,"São Paulo, Brazil",Latin America,"-23.5558, -46.6396",https://www.ikrek.com.br/
